Blue Jays	Rajai Davis	Jesus	Kirk Franklin	Christian & Gospel	https://itunes.apple.com/us/album/jesus/id269390059?i=269390383&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Ricky Romero	Juicy	Notorious B.I.G.	Hip-Hop/Rap	http://click.linksynergy.com/fs-bin/stat?id=7itOUbGkbq8&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Falbum%252Fjuicy%252Fid217613303%253Fi%253D217613305%2526uo%253D4%2526partnerId%253D30&u1=Juicy
Blue Jays	Sergio Santos	Dragula	Rob Zombie	Rock	https://itunes.apple.com/us/album/dragula/id367206?i=367135&uo=4&at=10l3Hj&ct=mobile_music
Braves	 Luis Avilan	Without Me	Eminem	Hip-Hop/Rap	https://itunes.apple.com/us/album/without-me/id99159226?i=99159313&uo=4&at=10l3Hj&ct=mobile_music
Braves	B.J. Upton	You the boss	Rick Ross ft. Nikki Minaj	Hip-Hop/Rap	https://itunes.apple.com/us/album/you-the-boss-feat.-nicki-minaj/id471042283?i=471042284&uo=4&at=10l3Hj&ct=mobile_music
Braves	Brandon Beachy	We Are Young	fun.	Alternative	https://itunes.apple.com/us/album/we-are-young-feat.-janelle/id486040153?i=486040195&uo=4&at=10l3Hj&ct=mobile_music
Braves	Brian McCann	All I Do Is Win	DJ Khaled	Hip-Hop/Rap	https://itunes.apple.com/us/album/all-i-do-is-win-feat.-t-pain/id353859956?i=353859978&uo=4&at=10l3Hj&ct=mobile_music
Braves	Chris Johnson	Pour It Up	Rihanna	Pop	https://itunes.apple.com/us/album/pour-it-up/id576666514?i=576666595&uo=4&at=10l3Hj&ct=mobile_music
Braves	Craig Kimbrel	Welcome to the Jungle	Guns N' Roses	Rock	https://itunes.apple.com/us/album/sweet-child-o-mine/id113736?i=113728&uo=4&at=10l3Hj&ct=mobile_music
Braves	Dan Uggla	What's My Name?	Snoop Dogg	Hip-Hop/Rap	https://itunes.apple.com/us/album/who-am-i-whats-my-name/id6655710?i=6655698&uo=4&at=10l3Hj&ct=mobile_music
Braves	 Freddie Freeman	Too Close	Alex Clare	Alternative	https://itunes.apple.com/us/album/too-close/id521189505?i=521189683&uo=4&at=10l3Hj&ct=mobile_music
